id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,lot1_surface_carrez,lot2_surface_carrez,lot3_surface_carrez,lot4_surface_carrez,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,day_mutation,month_mutation
2021-108329,2021-03-11,1,Vente,216000.0,3.0,,ALL CERVANTES,1940,13009.0,Marseille 9e Arrondissement,,,132098520D0012,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.398553,43.234178,11,3
2021-108329,2021-03-11,1,Vente,216000.0,3.0,,ALL CERVANTES,1940,13009.0,Marseille 9e Arrondissement,,,132098520D0012,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.398553,43.234178,11,3
2021-108329,2021-03-11,1,Vente,216000.0,3.0,,ALL CERVANTES,1940,13009.0,Marseille 9e Arrondissement,,,132098520D0012,,52.6,,,,,1,2.0,Appartement,52.0,2.0,,,,,,5.398553,43.234178,11,3
2021-108330,2021-03-25,1,Vente,492000.0,9116.0,,LES COSSETTES EST,B047,13400.0,Aubagne,,,13005000DE0109,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,1250.0,5.554415,43.279461,25,3
2021-108330,2021-03-25,1,Vente,492000.0,9116.0,,LES COSSETTES EST,B047,13400.0,Aubagne,,,13005000DE0109,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,1250.0,5.554415,43.279461,25,3
2021-108330,2021-03-25,1,Vente,492000.0,9116.0,,LES COSSETTES EST,B047,13400.0,Aubagne,,,13005000DE0109,,,,,,,0,1.0,Maison,180.0,5.0,S,sols,,,1250.0,5.554415,43.279461,25,3
2021-108331,2021-03-22,1,Vente,241500.0,9001.0,,RES MICHELET CONCORDE,A588,13009.0,Marseille 9e Arrondissement,,,132098490R0007,,,,,,,2,3.0,Dépendance,,0.0,,,,,,5.401676,43.251874,22,3
2021-108331,2021-03-22,1,Vente,241500.0,9001.0,,RES MICHELET CONCORDE,A588,13009.0,Marseille 9e Arrondissement,,,132098490R0007,,,,,,,2,2.0,Appartement,79.0,3.0,,,,,,5.401676,43.251874,22,3
2021-108331,2021-03-22,1,Vente,241500.0,9001.0,,RES MICHELET CONCORDE,A588,13009.0,Marseille 9e Arrondissement,,,132098490R0007,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.401676,43.251874,22,3
2021-108332,2021-03-24,1,Vente,377400.0,5.0,B,AV ISIDORE GAUTIER,0121,13720.0,La Bouilladisse,,,13016000BE0697,,,,,,,0,1.0,Maison,77.0,4.0,S,sols,,,515.0,5.59869,43.392548,24,3
2021-108333,2021-03-15,1,Vente,173000.0,9001.0,,RES CENTRAL PARC,A220,13400.0,Aubagne,,,13005000AH0124,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.56974,43.288132,15,3
2021-108333,2021-03-15,1,Vente,173000.0,9001.0,,RES CENTRAL PARC,A220,13400.0,Aubagne,,,13005000AH0124,,76.58,,,,,1,2.0,Appartement,76.0,4.0,,,,,,5.56974,43.288132,15,3
2021-108334,2021-03-23,1,Vente,100000.0,5.0,,BD DE NICE,6519,13008.0,Marseille 8e Arrondissement,,,132088410H0109,,27.35,,,,,1,3.0,Dépendance,,0.0,,,,,,5.372451,43.242224,23,3
2021-108334,2021-03-23,1,Vente,100000.0,5.0,,BD DE NICE,6519,13008.0,Marseille 8e Arrondissement,,,132088410H0109,,27.35,,,,,1,3.0,Dépendance,,0.0,,,,,,5.372451,43.242224,23,3
2021-108334,2021-03-23,1,Vente,100000.0,5.0,,BD DE NICE,6519,13008.0,Marseille 8e Arrondissement,,,132088410H0109,,27.35,,,,,1,2.0,Appartement,91.0,5.0,,,,,,5.372451,43.242224,23,3
2021-108335,2021-01-21,1,Vente,680000.0,48.0,,AV DES TEMPLIERS,1902,13400.0,Aubagne,,,13005000CM2472,,,,,,,0,4.0,Local industriel. commercial ou assimilé,452.0,0.0,S,sols,,,1123.0,5.584936,43.318917,21,1
2021-108335,2021-01-21,1,Vente,680000.0,6.0,,AV DES TEMPLIERS,1902,13400.0,Aubagne,,,13005000CM2473,,,,,,,0,4.0,Local industriel. commercial ou assimilé,1355.0,0.0,S,sols,,,3259.0,5.584836,43.318883,21,1
2021-108336,2021-03-23,1,Vente,20000.0,411.0,,AV DU PRADO,7515,13008.0,Marseille 8e Arrondissement,,,132088430K0058,,8.77,,,,,1,3.0,Dépendance,,0.0,,,,,,5.386289,43.267705,23,3
2021-108337,2021-03-05,1,Vente,137000.0,28.0,,RUE DE CLUNY,2377,13008.0,Marseille 8e Arrondissement,,,132088390D0109,,27.62,,,,,2,3.0,Dépendance,,0.0,,,,,,5.385699,43.277285,5,3
2021-108337,2021-03-05,1,Vente,137000.0,28.0,,RUE DE CLUNY,2377,13008.0,Marseille 8e Arrondissement,,,132088390D0109,,27.62,,,,,2,2.0,Appartement,18.0,1.0,,,,,,5.385699,43.277285,5,3
2021-108338,2021-03-23,1,Vente,99000.0,96.0,,BD DE LA REPUBLIQUE,1480,13600.0,La Ciotat,,,13028000AL0298,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,490.0,5.606882,43.177281,23,3
2021-108338,2021-03-23,1,Vente,99000.0,96.0,,BD DE LA REPUBLIQUE,1480,13600.0,La Ciotat,,,13028000AL0298,,,,,,,0,1.0,Maison,30.0,2.0,S,sols,,,490.0,5.606882,43.177281,23,3
2021-108338,2021-03-23,1,Vente,99000.0,96.0,,BD DE LA REPUBLIQUE,1480,13600.0,La Ciotat,,,13028000AL0298,,,,,,,0,1.0,Maison,121.0,5.0,S,sols,,,490.0,5.606882,43.177281,23,3
2021-108338,2021-03-23,1,Vente,99000.0,96.0,,BD DE LA REPUBLIQUE,1480,13600.0,La Ciotat,,,13028000AL0298,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,490.0,5.606882,43.177281,23,3
2021-108339,2021-03-15,1,Vente,625000.0,64.0,,RUE DU COMMANDANT ROLLAND,2461,13008.0,Marseille 8e Arrondissement,,,132088390L0071,,108.59,,,,,1,2.0,Appartement,109.0,3.0,,,,,,5.382046,43.273448,15,3
2021-108339,2021-03-15,1,Vente,625000.0,64.0,,RUE DU COMMANDANT ROLLAND,2461,13008.0,Marseille 8e Arrondissement,,,132088390L0071,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.382046,43.273448,15,3
2021-108340,2021-03-12,1,Vente,291300.0,29.0,,AV DES GOUMIERS,4169,13008.0,Marseille 8e Arrondissement,,,132088450A0041,,75.77,,,,,1,2.0,Appartement,87.0,3.0,,,,,,5.376823,43.247296,12,3
2021-108340,2021-03-12,1,Vente,291300.0,29.0,,AV DES GOUMIERS,4169,13008.0,Marseille 8e Arrondissement,,,132088450A0041,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.376823,43.247296,12,3
2021-108341,2021-03-09,1,Vente,149800.0,9001.0,,RES VALMANTE,A923,13009.0,Marseille 9e Arrondissement,,,132098490I0126,,39.42,,,,,2,2.0,Appartement,39.0,2.0,,,,,,5.411945,43.248244,9,3
2021-108341,2021-03-09,1,Vente,149800.0,9001.0,,RES VALMANTE,A923,13009.0,Marseille 9e Arrondissement,,,132098490I0126,,39.42,,,,,2,3.0,Dépendance,,0.0,,,,,,5.411945,43.248244,9,3
2021-108342,2021-03-19,1,Vente,14000.0,9999.0,,AV GABRIEL PERI,0720,13400.0,Aubagne,,,13005000AC0163,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.570531,43.294631,19,3
2021-108343,2021-03-13,1,Vente,420000.0,104.0,,AV DU DAUPHINE,0460,13600.0,La Ciotat,,,13028000BD0280,,90.49,,,,,1,2.0,Appartement,91.0,4.0,,,,,,5.622289,43.189897,13,3
2021-108344,2021-03-25,1,Vente,58500.0,11.0,,RTE DE VALDONNE,0313,13720.0,La Bouilladisse,,,13016000BM0161,,20.47,,,,,1,4.0,Local industriel. commercial ou assimilé,20.0,0.0,,,,,,5.593557,43.392301,25,3
2021-108345,2021-03-22,1,Vente en l'état futur d'achèvement,258200.0,,,CHE DE SORMIOU,8817,13009.0,Marseille 9e Arrondissement,,,132098520D0255,,80.9,,,,,1,,,,,,,,,,5.403848,43.231343,22,3
2021-108345,2021-03-22,1,Vente en l'état futur d'achèvement,258200.0,,,CHE DE SORMIOU,8817,13009.0,Marseille 9e Arrondissement,,,132098520D0255,,,,,,,1,,,,,,,,,,5.403848,43.231343,22,3
2021-108345,2021-03-22,1,Vente en l'état futur d'achèvement,258200.0,,,CHE DE SORMIOU,8817,13009.0,Marseille 9e Arrondissement,,,132098520D0255,,,,,,,1,,,,,,,,,,5.403848,43.231343,22,3
2021-108346,2021-03-03,1,Vente en l'état futur d'achèvement,467200.0,1.0,,IMP DE LA CACHOTTE,1547,13009.0,Marseille 9e Arrondissement,,,132098490T0084,,,,,,,1,,,,,,,,,,5.398058,43.249391,3,3
2021-108346,2021-03-03,1,Vente en l'état futur d'achèvement,467200.0,1.0,,IMP DE LA CACHOTTE,1547,13009.0,Marseille 9e Arrondissement,,,132098490T0084,,,,,,,1,,,,,,,,,,5.398058,43.249391,3,3
2021-108346,2021-03-03,1,Vente en l'état futur d'achèvement,467200.0,1.0,,IMP DE LA CACHOTTE,1547,13009.0,Marseille 9e Arrondissement,,,132098490T0084,,,,,,,1,,,,,,,,,,5.398058,43.249391,3,3
2021-108347,2021-03-25,1,Vente en l'état futur d'achèvement,293000.0,,,LES SOLANS NORD EST,B134,13400.0,Aubagne,,,13005000CM0603,,,,,,,1,,,,,,,,,,5.573091,43.314428,25,3
2021-108347,2021-03-25,1,Vente en l'état futur d'achèvement,293000.0,,,LES SOLANS NORD EST,B134,13400.0,Aubagne,,,13005000CM0603,,,,,,,1,,,,,,,,,,5.573091,43.314428,25,3
2021-108348,2021-03-25,1,Vente,35000.0,3.0,,RUE RASTEGUE,1690,13400.0,Aubagne,,,13005000AD0161,,25.39,,,,,1,4.0,Local industriel. commercial ou assimilé,28.0,0.0,,,,,,5.568907,43.292678,25,3
2021-108349,2021-02-19,1,Vente,991990.0,54.0,,LA GRANDE BASTIDE,A380,13260.0,Cassis,,,13022000BO0049,,,,,,,0,1.0,Maison,84.0,5.0,S,sols,,,1074.0,5.553391,43.212976,19,2
2021-108350,2021-03-23,1,Vente en l'état futur d'achèvement,301000.0,201.0,,CHE DU VALLAT,1965,13400.0,Aubagne,,,13005000CM0600,,,,,,,1,2.0,Appartement,63.0,3.0,,,,,,5.571516,43.314866,23,3
